Problem:    TP
Rows:       3934
Columns:    5544 (5544 integer, 5544 binary)
   127 X[1,1,5]     *              0             0             1 
   128 X[2,1,5]     *              0             0             1 
   129 X[3,1,5]     *              0             0             1 
   130 X[4,1,5]     *              0             0             1 
   131 X[5,1,5]     *              0             0             1 
   132 X[6,1,5]     *              0             0             1 
   133 X[7,1,5]     *              0             0             1 
   134 X[8,1,5]     *              0             0             1 
   135 X[9,1,5]     *              0             0             1 
   136 X[10,1,5]    *              0             0             1 
   137 X[11,1,5]    *              0             0             1 
   138 X[12,1,5]    *              0             0             1 
   139 X[13,1,5]    *              0             0             1 
   140 X[14,1,5]    *              0             0             1 
   141 X[1,1,6]     *              0             0             1 
   142 X[2,1,6]     *              0             0             1 
   143 X[3,1,6]     *              0             0             1 
   144 X[4,1,6]     *              0             0             1 
   145 X[5,1,6]     *              0             0             1 
   146 X[6,1,6]     *              0             0             1 
   147 X[7,1,6]     *              0             0             1 
   148 X[8,1,6]     *              0             0             1 
   149 X[9,1,6]     *              0             0             1 
   150 X[10,1,6]    *              0             0             1 
   151 X[11,1,6]    *              0             0             1 
   152 X[12,1,6]    *              0             0             1 
   153 X[13,1,6]    *              0             0             1 
   154 X[14,1,6]    *              0             0             1 
   155 X[1,1,7]     *              0             0             1 
   156 X[2,1,7]     *              0             0             1 
   157 X[3,1,7]     *              0             0             1 
   158 X[4,1,7]     *              0             0             1 
   159 X[5,1,7]     *              0             0             1 
   160 X[6,1,7]     *              0             0             1 
   161 X[7,1,7]     *              0             0             1 
   162 X[8,1,7]     *              0             0             1 
   163 X[9,1,7]     *              0             0             1 
   164 X[10,1,7]    *              0             0             1 
   165 X[11,1,7]    *              0             0             1 
   166 X[12,1,7]    *              0             0             1 
   167 X[13,1,7]    *              0             0             1 
   168 X[14,1,7]    *              0             0             1 
   169 X[1,1,8]     *              0             0             1 
   170 X[2,1,8]     *              0             0             1 
   171 X[3,1,8]     *              0             0             1 
   172 X[4,1,8]     *              0             0             1 
   173 X[5,1,8]     *              0             0             1 
   174 X[6,1,8]     *              0             0             1 
   175 X[7,1,8]     *              0             0             1 
   176 X[8,1,8]     *              0             0             1 
   177 X[9,1,8]     *              0             0             1 
   178 X[10,1,8]    *              0             0             1 
   179 X[11,1,8]    *              0             0             1 
   180 X[12,1,8]    *              0             0             1 
   181 X[13,1,8]    *              0             0             1 
   182 X[14,1,8]    *              0             0             1 
   183 X[1,1,9]     *              0             0             1 
   184 X[2,1,9]     *              0             0             1 
   185 X[3,1,9]     *              0             0             1 
   186 X[4,1,9]     *              0             0             1 
   187 X[5,1,9]     *              0             0             1 
   188 X[6,1,9]     *              0             0             1 
   189 X[7,1,9]     *              0             0             1 
   190 X[8,1,9]     *              0             0             1 
   191 X[9,1,9]     *              0             0             1 
   192 X[10,1,9]    *              0             0             1 
   193 X[11,1,9]    *              0             0             1 
   194 X[12,1,9]    *              0             0             1 
   195 X[13,1,9]    *              0             0             1 
   196 X[14,1,9]    *              0             0             1 
   197 X[1,1,10]    *              0             0             1 
   198 X[2,1,10]    *              0             0             1 
   199 X[3,1,10]    *              0             0             1 
   200 X[4,1,10]    *              0             0             1 
   201 X[5,1,10]    *              0             0             1 
   202 X[6,1,10]    *              0             0             1 
   203 X[7,1,10]    *              0             0             1 
   204 X[8,1,10]    *              0             0             1 
   205 X[9,1,10]    *              0             0             1 
   206 X[10,1,10]   *              0             0             1 
   207 X[11,1,10]   *              0             0             1 
   208 X[12,1,10]   *              0             0             1 
   209 X[13,1,10]   *              0             0             1 
   210 X[14,1,10]   *              0             0             1 
   211 X[1,1,11]    *              0             0             1 
   212 X[2,1,11]    *              0             0             1 
   213 X[3,1,11]    *              0             0             1 
   214 X[4,1,11]    *              0             0             1 
   215 X[5,1,11]    *              0             0             1 
   216 X[6,1,11]    *              0             0             1 
   217 X[7,1,11]    *              0             0             1 
   218 X[8,1,11]    *              0             0             1 
   219 X[9,1,11]    *              0             0             1 
   220 X[10,1,11]   *              0             0             1 
   221 X[11,1,11]   *              0             0             1 
   222 X[12,1,11]   *              0             0             1 
   223 X[13,1,11]   *              0             0             1 
   224 X[14,1,11]   *              0             0             1 
   225 X[1,1,12]    *              1             0             1 
   226 X[2,1,12]    *              0             0             1 
   227 X[3,1,12]    *              0             0             1 
   228 X[4,1,12]    *              0             0             1 
   229 X[5,1,12]    *              0             0             1 
   230 X[6,1,12]    *              0             0             1 
   231 X[7,1,12]    *              0             0             1 
   232 X[8,1,12]    *              0             0             1 
   233 X[9,1,12]    *              0             0             1 
   234 X[10,1,12]   *              0             0             1 
   235 X[11,1,12]   *              0             0             1 
   236 X[12,1,12]   *              0             0             1 
   237 X[13,1,12]   *              0             0             1 
   238 X[14,1,12]   *              0             0             1 
   239 X[1,1,13]    *              0             0             1 
   240 X[2,1,13]    *              0             0             1 
   241 X[3,1,13]    *              0             0             1 
   242 X[4,1,13]    *              0             0             1 
   243 X[5,1,13]    *              0             0             1 
   244 X[6,1,13]    *              0             0             1 
   245 X[7,1,13]    *              0             0             1 
   246 X[8,1,13]    *              0             0             1 
   247 X[9,1,13]    *              0             0             1 
   248 X[10,1,13]   *              0             0             1 
   249 X[11,1,13]   *              0             0             1 
   250 X[12,1,13]   *              0             0             1 
   251 X[13,1,13]   *              0             0             1 
   252 X[14,1,13]   *              0             0             1 
   253 X[1,1,14]    *              0             0             1 
   254 X[2,1,14]    *              0             0             1 
   255 X[3,1,14]    *              0             0             1 
   256 X[4,1,14]    *              0             0             1 
   257 X[5,1,14]    *              0             0             1 
   258 X[6,1,14]    *              0             0             1 
   259 X[7,1,14]    *              0             0             1 
   260 X[8,1,14]    *              0             0             1 
   261 X[9,1,14]    *              0             0             1 
   262 X[10,1,14]   *              0             0             1 
   263 X[11,1,14]   *              0             0             1 
   264 X[12,1,14]   *              0             0             1 
   265 X[13,1,14]   *              0             0             1 
   266 X[14,1,14]   *              0             0             1 
   267 X[1,1,15]    *              0             0             1 
   268 X[2,1,15]    *              0             0             1 
   269 X[3,1,15]    *              0             0             1 
   270 X[4,1,15]    *              0             0             1 
   271 X[5,1,15]    *              0             0             1 
   272 X[6,1,15]    *              0             0             1 
   273 X[7,1,15]    *              0             0             1 
   274 X[8,1,15]    *              0             0             1 
   275 X[9,1,15]    *              0             0             1 
   276 X[10,1,15]   *              0             0             1 
   277 X[11,1,15]   *              0             0             1 
   278 X[12,1,15]   *              0             0             1 
   279 X[13,1,15]   *              0             0             1 
   280 X[14,1,15]   *              0             0             1 
   281 X[1,1,16]    *              0             0             1 
   282 X[2,1,16]    *              0             0             1 
   283 X[3,1,16]    *              0             0             1 
   284 X[4,1,16]    *              0             0             1 
   285 X[5,1,16]    *              0             0             1 
   286 X[6,1,16]    *              0             0             1 
   287 X[7,1,16]    *              0             0             1 
   288 X[8,1,16]    *              0             0             1 
   289 X[9,1,16]    *              0             0             1 
   290 X[10,1,16]   *              0             0             1 
   291 X[11,1,16]   *              0             0             1 
   292 X[12,1,16]   *              0             0             1 
   293 X[13,1,16]   *              0             0             1 
   294 X[14,1,16]   *              0             0             1 
   295 X[1,1,17]    *              0             0             1 
   296 X[2,1,17]    *              0             0             1 
   297 X[3,1,17]    *              0             0             1 
   298 X[4,1,17]    *              0             0             1 
   299 X[5,1,17]    *              0             0             1 
   300 X[6,1,17]    *              0             0             1 
   301 X[7,1,17]    *              0             0             1 
   302 X[8,1,17]    *              0             0             1 
   303 X[9,1,17]    *              0             0             1 
   304 X[10,1,17]   *              0             0             1 
   305 X[11,1,17]   *              0             0             1 
   306 X[12,1,17]   *              0             0             1 
   307 X[13,1,17]   *              0             0             1 
   308 X[14,1,17]   *              0             0             1 
   309 X[1,1,18]    *              0             0             1 
   310 X[2,1,18]    *              0             0             1 
   311 X[3,1,18]    *              0             0             1 
   312 X[4,1,18]    *              0             0             1 
   313 X[5,1,18]    *              0             0             1 
   314 X[6,1,18]    *              0             0             1 
   315 X[7,1,18]    *              0             0             1 
   316 X[8,1,18]    *              0             0             1 
   317 X[9,1,18]    *              0             0             1 
   318 X[10,1,18]   *              0             0             1 
   319 X[11,1,18]   *              0             0             1 
   320 X[12,1,18]   *              0             0             1 
   321 X[13,1,18]   *              0             0             1 
   322 X[14,1,18]   *              0             0             1 
   323 X[1,1,19]    *              0             0             1 
   324 X[2,1,19]    *              0             0             1 
   325 X[3,1,19]    *              0             0             1 
   326 X[4,1,19]    *              0             0             1 
   327 X[5,1,19]    *              0             0             1 
   328 X[6,1,19]    *              0             0             1 
   329 X[7,1,19]    *              0             0             1 
   330 X[8,1,19]    *              0             0             1 
   331 X[9,1,19]    *              0             0             1 
   332 X[10,1,19]   *              0             0             1 
   333 X[11,1,19]   *              0             0             1 
   334 X[12,1,19]   *              0             0             1 
   335 X[13,1,19]   *              0             0             1 
   336 X[14,1,19]   *              0             0             1 
   337 X[1,1,20]    *              0             0             1 
   338 X[2,1,20]    *              0             0             1 
   339 X[3,1,20]    *              0             0             1 
   340 X[4,1,20]    *              0             0             1 
   341 X[5,1,20]    *              0             0             1 
   342 X[6,1,20]    *              0             0             1 
   343 X[7,1,20]    *              0             0             1 
   344 X[8,1,20]    *              0             0             1 
   345 X[9,1,20]    *              0             0             1 
   346 X[10,1,20]   *              0             0             1 
   347 X[11,1,20]   *              0             0             1 
   348 X[12,1,20]   *              0             0             1 
   349 X[13,1,20]   *              0             0             1 
   350 X[14,1,20]   *              0             0             1 
   351 X[1,2,1]     *              0             0             1 
   352 X[2,2,1]     *              0             0             1 
   353 X[3,2,1]     *              1             0             1 
   354 X[4,2,1]     *              0             0             1 
   355 X[5,2,1]     *              0             0             1 
   356 X[6,2,1]     *              0             0             1 
   357 X[7,2,1]     *              0             0             1 
   358 X[8,2,1]     *              0             0             1 
   359 X[9,2,1]     *              0             0             1 
   360 X[10,2,1]    *              0             0             1 
   361 X[11,2,1]    *              0             0             1 
   362 X[12,2,1]    *              0             0             1 
   363 X[13,2,1]    *              0             0             1 
   364 X[14,2,1]    *              0             0             1 
   365 X[1,2,2]     *              0             0             1 
   366 X[2,2,2]     *              0             0             1 
   367 X[3,2,2]     *              0             0             1 
   368 X[4,2,2]     *              0             0             1 
   369 X[5,2,2]     *              0             0             1 
   370 X[6,2,2]     *              0             0             1 
   371 X[7,2,2]     *              0             0             1 
   372 X[8,2,2]     *              0             0             1 
   373 X[9,2,2]     *              0             0             1 
   374 X[10,2,2]    *              0             0             1 
   375 X[11,2,2]    *              0             0             1 
   376 X[12,2,2]    *              0             0             1 
   377 X[13,2,2]    *              0             0             1 
   378 X[14,2,2]    *              0             0             1 
   379 X[1,2,3]     *              0             0             1 
   380 X[2,2,3]     *              0             0             1 
   381 X[3,2,3]     *              0             0             1 
   382 X[4,2,3]     *              0             0             1 
   383 X[5,2,3]     *              0             0             1 
   384 X[6,2,3]     *              0             0             1 
   385 X[7,2,3]     *              0             0             1 
   386 X[8,2,3]     *              0             0             1 
   387 X[9,2,3]     *              0             0             1 
   388 X[10,2,3]    *              0             0             1 
   389 X[11,2,3]    *              0             0             1 
   390 X[12,2,3]    *              0             0             1 
   391 X[13,2,3]    *              0             0             1 
   392 X[14,2,3]    *              0             0             1 
   393 X[1,2,4]     *              0             0             1 
   394 X[2,2,4]     *              0             0             1 
   395 X[3,2,4]     *              0             0             1 
   396 X[4,2,4]     *              0             0             1 
   397 X[5,2,4]     *              0             0             1 
   398 X[6,2,4]     *              0             0             1 
   399 X[7,2,4]     *              0             0             1 
   400 X[8,2,4]     *              0             0             1 
   401 X[9,2,4]     *              0             0             1 
   402 X[10,2,4]    *              0             0             1 
   403 X[11,2,4]    *              0             0             1 
   404 X[12,2,4]    *              0             0             1 
   405 X[13,2,4]    *              0             0             1 
   406 X[14,2,4]    *              0             0             1 
   407 X[1,2,5]     *              0             0             1 
   408 X[2,2,5]     *              0             0             1 
   409 X[3,2,5]     *              0             0             1 
   410 X[4,2,5]     *              0             0             1 
   411 X[5,2,5]     *              0             0             1 
   412 X[6,2,5]     *              0             0             1 
   413 X[7,2,5]     *              0             0             1 
   414 X[8,2,5]     *              0             0             1 
   415 X[9,2,5]     *              0             0             1 
   416 X[10,2,5]    *              0             0             1 
   417 X[11,2,5]    *              0             0             1 
   418 X[12,2,5]    *              0             0             1 
   419 X[13,2,5]    *              0             0             1 
   420 X[14,2,5]    *              0             0             1 
   421 X[1,2,6]     *              0             0             1 
   422 X[2,2,6]     *              0             0             1 
   423 X[3,2,6]     *              0             0             1 
   424 X[4,2,6]     *              0             0             1 
   425 X[5,2,6]     *              0             0             1 
   426 X[6,2,6]     *              0             0             1 
   427 X[7,2,6]     *              0             0             1 
   428 X[8,2,6]     *              0             0             1 
   429 X[9,2,6]     *              0             0             1 
   430 X[10,2,6]    *              0             0             1 
   431 X[11,2,6]    *              0             0             1 
   432 X[12,2,6]    *              0             0             1 
   433 X[13,2,6]    *              0             0             1 
   434 X[14,2,6]    *              0             0             1 
   435 X[1,2,7]     *              0             0             1 
   436 X[2,2,7]     *              0             0             1 
   437 X[3,2,7]     *              0             0             1 
   438 X[4,2,7]     *              0             0             1 
   439 X[5,2,7]     *              0             0             1 
   440 X[6,2,7]     *              0             0             1 
   441 X[7,2,7]     *              0             0             1 
   442 X[8,2,7]     *              0             0             1 
   443 X[9,2,7]     *              0             0             1 
   444 X[10,2,7]    *              0             0             1 
   445 X[11,2,7]    *              0             0             1 
   446 X[12,2,7]    *              0             0             1 
   447 X[13,2,7]    *              0             0             1 
   448 X[14,2,7]    *              0             0             1 
   449 X[1,2,8]     *              0             0             1 
   450 X[2,2,8]     *              0             0             1 
   451 X[3,2,8]     *              0             0             1 
   452 X[4,2,8]     *              0             0             1 
   453 X[5,2,8]     *              0             0             1 
   454 X[6,2,8]     *              0             0             1 
   455 X[7,2,8]     *              0             0             1 
   456 X[8,2,8]     *              0             0             1 
   457 X[9,2,8]     *              0             0             1 
   458 X[10,2,8]    *              0             0             1 
   459 X[11,2,8]    *              0             0             1 
   460 X[12,2,8]    *              0             0             1 
   461 X[13,2,8]    *              0             0             1 
   462 X[14,2,8]    *              0             0             1 
   463 X[1,2,9]     *              0             0             1 
   464 X[2,2,9]     *              0             0             1 
   465 X[3,2,9]     *              1             0             1 
   466 X[4,2,9]     *              0             0             1 
   467 X[5,2,9]     *              0             0             1 
   468 X[6,2,9]     *              0             0             1 
   469 X[7,2,9]     *              0             0             1 
   470 X[8,2,9]     *              0             0             1 
   471 X[9,2,9]     *              0             0             1 
   472 X[10,2,9]    *              0             0             1 
   473 X[11,2,9]    *              0             0             1 
   474 X[12,2,9]    *              0             0             1 
   475 X[13,2,9]    *              0             0             1 
   476 X[14,2,9]    *              0             0             1 
   477 X[1,2,10]    *              0             0             1 
   478 X[2,2,10]    *              0             0             1 
   479 X[3,2,10]    *              0             0             1 
   480 X[4,2,10]    *              0             0             1 
   481 X[5,2,10]    *              0             0             1 
   482 X[6,2,10]    *              0             0             1 
   483 X[7,2,10]    *              0             0             1 
   484 X[8,2,10]    *              0             0             1 
   485 X[9,2,10]    *              0             0             1 
   486 X[10,2,10]   *              0             0             1 
   487 X[11,2,10]   *              0             0             1 
   488 X[12,2,10]   *              0             0             1 
   489 X[13,2,10]   *              0             0             1 
   490 X[14,2,10]   *              0             0             1 
   491 X[1,2,11]    *              0             0             1 
   492 X[2,2,11]    *              0             0             1 
   493 X[3,2,11]    *              0             0             1 
   494 X[4,2,11]    *              0             0             1 
   495 X[5,2,11]    *              0             0             1 
   496 X[6,2,11]    *              0             0             1 
   497 X[7,2,11]    *              0             0             1 
   498 X[8,2,11]    *              0             0             1 
   499 X[9,2,11]    *              0             0             1 
   500 X[10,2,11]   *              0             0             1 
   501 X[11,2,11]   *              0             0             1 
   502 X[12,2,11]   *              0             0             1 
   503 X[13,2,11]   *              0             0             1 
   504 X[14,2,11]   *              0             0             1 
   505 X[1,2,12]    *              0             0             1 
   506 X[2,2,12]    *              0             0             1 
   507 X[3,2,12]    *              0             0             1 
   508 X[4,2,12]    *              0             0             1 
   509 X[5,2,12]    *              0             0             1 
   510 X[6,2,12]    *              0             0             1 
   511 X[7,2,12]    *              0             0             1 
   512 X[8,2,12]    *              0             0             1 
   513 X[9,2,12]    *              0             0             1 
   514 X[10,2,12]   *              0             0             1 
   515 X[11,2,12]   *              0             0             1 
   516 X[12,2,12]   *              0             0             1 
   517 X[13,2,12]   *              0             0             1 
   518 X[14,2,12]   *              0             0             1 
   519 X[1,2,13]    *              0             0             1 
   520 X[2,2,13]    *              0             0             1 
   521 X[3,2,13]    *              0             0             1 
   522 X[4,2,13]    *              0             0             1 
   523 X[5,2,13]    *              0             0             1 
   524 X[6,2,13]    *              0             0             1 
   525 X[7,2,13]    *              0             0             1 
   526 X[8,2,13]    *              0             0             1 
   527 X[9,2,13]    *              0             0             1 
   528 X[10,2,13]   *              0             0             1 
   529 X[11,2,13]   *              0             0             1 
   530 X[12,2,13]   *              0             0             1 
   531 X[13,2,13]   *              0             0             1 
   532 X[14,2,13]   *              0             0             1 
   533 X[1,2,14]    *              0             0             1 
   534 X[2,2,14]    *              0             0             1 
   535 X[3,2,14]    *              0             0             1 
   536 X[4,2,14]    *              0             0             1 
   537 X[5,2,14]    *              0             0             1 
   538 X[6,2,14]    *              0             0             1 
   539 X[7,2,14]    *              0             0             1 
   540 X[8,2,14]    *              0             0             1 
   541 X[9,2,14]    *              0             0             1 
   542 X[10,2,14]   *              0             0             1 
   543 X[11,2,14]   *              0             0             1 
   544 X[12,2,14]   *              0             0             1 
   545 X[13,2,14]   *              0             0             1 
   546 X[14,2,14]   *              0             0             1 
   547 X[1,2,15]    *              0             0             1 
   548 X[2,2,15]    *              0             0             1 
   549 X[3,2,15]    *              0             0             1 
   550 X[4,2,15]    *              0             0             1 
   551 X[5,2,15]    *              0             0             1 
   552 X[6,2,15]    *              0             0             1 
   553 X[7,2,15]    *              0             0             1 
   554 X[8,2,15]    *              0             0             1 
   555 X[9,2,15]    *              0             0             1 
   556 X[10,2,15]   *              0             0             1 
   557 X[11,2,15]   *              0             0             1 
   558 X[12,2,15]   *              0             0             1 
   559 X[13,2,15]   *              0             0             1 
   560 X[14,2,15]   *              0             0             1 
   561 X[1,2,16]    *              0             0             1 
   562 X[2,2,16]    *              0             0             1 
   563 X[3,2,16]    *              0             0             1 
   564 X[4,2,16]    *              0             0             1 
   565 X[5,2,16]    *              0             0             1 
   566 X[6,2,16]    *              0             0             1 
   567 X[7,2,16]    *              0             0             1 
   568 X[8,2,16]    *              0             0             1 
   569 X[9,2,16]    *              0             0             1 
   570 X[10,2,16]   *              0             0             1 
   571 X[11,2,16]   *              0             0             1 
   572 X[12,2,16]   *              0             0             1 
   573 X[13,2,16]   *              0             0             1 
   574 X[14,2,16]   *              0             0             1 
   575 X[1,2,17]    *              0             0             1 
   576 X[2,2,17]    *              0             0             1 
   577 X[3,2,17]    *              0             0             1 
   578 X[4,2,17]    *              0             0             1 
   579 X[5,2,17]    *              0             0             1 
   580 X[6,2,17]    *              0             0             1 
   581 X[7,2,17]    *              0             0             1 
   582 X[8,2,17]    *              0             0             1 
   583 X[9,2,17]    *              0             0             1 
   584 X[10,2,17]   *              0             0             1 
   585 X[11,2,17]   *              0             0             1 
   586 X[12,2,17]   *              0             0             1 
   587 X[13,2,17]   *              0             0             1 
   588 X[14,2,17]   *              0             0             1 
   589 X[1,2,18]    *              0             0             1 
   590 X[2,2,18]    *              0             0             1 
   591 X[3,2,18]    *              0             0             1 
   592 X[4,2,18]    *              0             0             1 
   593 X[5,2,18]    *              0             0             1 
   594 X[6,2,18]    *              0             0             1 
   595 X[7,2,18]    *              0             0             1 
   596 X[8,2,18]    *              0             0             1 
   597 X[9,2,18]    *              0             0             1 
   598 X[10,2,18]   *              0             0             1 
   599 X[11,2,18]   *              0             0             1 
   600 X[12,2,18]   *              0             0             1 
   601 X[13,2,18]   *              0             0             1 
   602 X[14,2,18]   *              0             0             1 
   603 X[1,2,19]    *              0             0             1 
   604 X[2,2,19]    *              0             0             1 
   605 X[3,2,19]    *              0             0             1 
   606 X[4,2,19]    *              0             0             1 
   607 X[5,2,19]    *              0             0             1 
   608 X[6,2,19]    *              0             0             1 
   609 X[7,2,19]    *              0             0             1 
   610 X[8,2,19]    *              0             0             1 
   611 X[9,2,19]    *              0             0             1 
   612 X[10,2,19]   *              0             0             1 
   613 X[11,2,19]   *              0             0             1 
   614 X[12,2,19]   *              0             0             1 
   615 X[13,2,19]   *              0             0             1 
   616 X[14,2,19]   *              0             0             1 
   617 X[1,2,20]    *              0             0             1 
   618 X[2,2,20]    *              0             0             1 
   619 X[3,2,20]    *              0             0             1 
   620 X[4,2,20]    *              0             0             1 
   621 X[5,2,20]    *              0             0             1 
   622 X[6,2,20]    *              0             0             1 
   623 X[7,2,20]    *              0             0             1 
   624 X[8,2,20]    *              0             0             1 
   625 X[9,2,20]    *              0             0             1 
   626 X[10,2,20]   *              0             0             1 
   627 X[11,2,20]   *              0             0             1 
   628 X[12,2,20]   *              0             0             1 
   629 X[13,2,20]   *              0             0             1 
   630 X[14,2,20]   *              0             0             1 
   631 X[1,3,1]     *              0             0             1 
   632 X[2,3,1]     *              0             0             1 
   633 X[3,3,1]     *              0             0             1 
   634 X[4,3,1]     *              0             0             1 
   635 X[5,3,1]     *              0             0             1 
   636 X[6,3,1]     *              0             0             1 
   637 X[7,3,1]     *              0             0             1 
   638 X[8,3,1]     *              0             0             1 
   639 X[9,3,1]     *              0             0             1 
   640 X[10,3,1]    *              0             0             1 
   641 X[11,3,1]    *              0             0             1 
   642 X[12,3,1]    *              0             0             1 
   643 X[13,3,1]    *              0             0             1 
   644 X[14,3,1]    *              0             0             1 
   645 X[1,3,2]     *              0             0             1 
   646 X[2,3,2]     *              0             0             1 
   647 X[3,3,2]     *              0             0             1 
   648 X[4,3,2]     *              0             0             1 
   649 X[5,3,2]     *              0             0             1 
   650 X[6,3,2]     *              0             0             1 
   651 X[7,3,2]     *              0             0             1 
   652 X[8,3,2]     *              0             0             1 
   653 X[9,3,2]     *              0             0             1 
   654 X[10,3,2]    *              0             0             1 
   655 X[11,3,2]    *              0             0             1 
   656 X[12,3,2]    *              0             0             1 
   657 X[13,3,2]    *              0             0             1 
   658 X[14,3,2]    *              0             0             1 
   659 X[1,3,3]     *              0             0             1 
   660 X[2,3,3]     *              0             0             1 
   661 X[3,3,3]     *              0             0             1 
   662 X[4,3,3]     *              0             0             1 
   663 X[5,3,3]     *              0             0             1 
   664 X[6,3,3]     *              0             0             1 
   665 X[7,3,3]     *              0             0             1 
   666 X[8,3,3]     *              0             0             1 
   667 X[9,3,3]     *              0             0             1 
   668 X[10,3,3]    *              0             0             1 
   669 X[11,3,3]    *              0             0             1 
   670 X[12,3,3]    *              0             0             1 
   671 X[13,3,3]    *              0             0             1 
   672 X[14,3,3]    *              0             0             1 
   673 X[1,3,4]     *              0             0             1 
   674 X[2,3,4]     *              0             0             1 
   675 X[3,3,4]     *              0             0             1 
   676 X[4,3,4]     *              0             0             1 
   677 X[5,3,4]     *              0             0             1 
   678 X[6,3,4]     *              0             0             1 
   679 X[7,3,4]     *              0             0             1 
   680 X[8,3,4]     *              0             0             1 
   681 X[9,3,4]     *              0             0             1 
   682 X[10,3,4]    *              0             0             1 
   683 X[11,3,4]    *              0             0             1 
   684 X[12,3,4]    *              0             0             1 
   685 X[13,3,4]    *              0             0             1 
   686 X[14,3,4]    *              0             0             1 
   687 X[1,3,5]     *              0             0             1 
   688 X[2,3,5]     *              0             0             1 
   689 X[3,3,5]     *              0             0             1 
   690 X[4,3,5]     *              0             0             1 
   691 X[5,3,5]     *              0             0             1 
   692 X[6,3,5]     *              0             0             1 
   693 X[7,3,5]     *              0             0             1 
   694 X[8,3,5]     *              0             0             1 
   695 X[9,3,5]     *              0             0             1 
   696 X[10,3,5]    *              0             0             1 
   697 X[11,3,5]    *              0             0             1 
   698 X[12,3,5]    *              0             0             1 
   699 X[13,3,5]    *              0             0             1 
   700 X[14,3,5]    *              0             0             1 
   701 X[1,3,6]     *              0             0             1 
   702 X[2,3,6]     *              0             0             1 
   703 X[3,3,6]     *              0             0             1 
   704 X[4,3,6]     *              0             0             1 
   705 X[5,3,6]     *              0             0             1 
   706 X[6,3,6]     *              0             0             1 
   707 X[7,3,6]     *              0             0             1 
   708 X[8,3,6]     *              0             0             1 
   709 X[9,3,6]     *              0             0             1 
   710 X[10,3,6]    *              0             0             1 
   711 X[11,3,6]    *              0             0             1 
   712 X[12,3,6]    *              0             0             1 
   713 X[13,3,6]    *              0             0             1 
   714 X[14,3,6]    *              0             0             1 
   715 X[1,3,7]     *              0             0             1 
   716 X[2,3,7]     *              0             0             1 
   717 X[3,3,7]     *              0             0             1 
   718 X[4,3,7]     *              0             0             1 
   719 X[5,3,7]     *              0             0             1 
   720 X[6,3,7]     *              0             0             1 
   721 X[7,3,7]     *              0             0             1 
   722 X[8,3,7]     *              0             0             1 
   723 X[9,3,7]     *              0             0             1 
   724 X[10,3,7]    *              0             0             1 
   725 X[11,3,7]    *              0             0             1 
   726 X[12,3,7]    *              0             0             1 
   727 X[13,3,7]    *              0             0             1 
   728 X[14,3,7]    *              1             0             1 
   729 X[1,3,8]     *              0             0             1 
   730 X[2,3,8]     *              0             0             1 
   731 X[3,3,8]     *              0             0             1 
   732 X[4,3,8]     *              0             0             1 
   733 X[5,3,8]     *              0             0             1 
   734 X[6,3,8]     *              0             0             1 
   735 X[7,3,8]     *              0             0             1 
   736 X[8,3,8]     *              0             0             1 
   737 X[9,3,8]     *              0             0             1 
   738 X[10,3,8]    *              0             0             1 
   739 X[11,3,8]    *              0             0             1 
   740 X[12,3,8]    *              0             0             1 
   741 X[13,3,8]    *              0             0             1 
   742 X[14,3,8]    *              0             0             1 
   743 X[1,3,9]     *              0             0             1 
   744 X[2,3,9]     *              0             0             1 
   745 X[3,3,9]     *              0             0             1 
   746 X[4,3,9]     *              0             0             1 
   747 X[5,3,9]     *              0             0             1 
   748 X[6,3,9]     *              0             0             1 
   749 X[7,3,9]     *              0             0             1 
   750 X[8,3,9]     *              0             0             1 
   751 X[9,3,9]     *              0             0             1 
   752 X[10,3,9]    *              0             0             1 
   753 X[11,3,9]    *              0             0             1 
   754 X[12,3,9]    *              0             0             1 
   755 X[13,3,9]    *              0             0             1 
   756 X[14,3,9]    *              0             0             1 
   757 X[1,3,10]    *              0             0             1 
   758 X[2,3,10]    *              0             0             1 
   759 X[3,3,10]    *              0             0             1 
   760 X[4,3,10]    *              0             0             1 
   761 X[5,3,10]    *              0             0             1 
   762 X[6,3,10]    *              0             0             1 
   763 X[7,3,10]    *              0             0             1 
   764 X[8,3,10]    *              0             0             1 
   765 X[9,3,10]    *              0             0             1 
   766 X[10,3,10]   *              0             0             1 
   767 X[11,3,10]   *              0             0             1 
   768 X[12,3,10]   *              0             0             1 
   769 X[13,3,10]   *              0             0             1 
   770 X[14,3,10]   *              0             0             1 
   771 X[1,3,11]    *              0             0             1 
   772 X[2,3,11]    *              0             0             1 
   773 X[3,3,11]    *              0             0             1 
   774 X[4,3,11]    *              0             0             1 
   775 X[5,3,11]    *              0             0             1 
   776 X[6,3,11]    *              0             0             1 
   777 X[7,3,11]    *              0             0             1 
   778 X[8,3,11]    *              0             0             1 
   779 X[9,3,11]    *              0             0             1 
   780 X[10,3,11]   *              0             0             1 
   781 X[11,3,11]   *              0             0             1 
   782 X[12,3,11]   *              0             0             1 
   783 X[13,3,11]   *              0             0             1 
   784 X[14,3,11]   *              0             0             1 
   785 X[1,3,12]    *              0             0             1 
   786 X[2,3,12]    *              1             0             1 
   787 X[3,3,12]    *              0             0             1 
   788 X[4,3,12]    *              0             0             1 
   789 X[5,3,12]    *              0             0             1 
   790 X[6,3,12]    *              0             0             1 
